% 1. Title: League of Legends 5vs5 Solo queue Database
%
% 2. Sources:
%	(a) Creator: Oihan Irastorza (Botxan)
%	(b) Date: 12 January, 2024
%	(c) Source of data: Riot API (https://developer.riotgames.com/). Used endpoints: 
%           1. Players per queue, league and rank: /lol/league/v4/entries/{queue}/{tier}/{division}.
%               - Useful returned data: tier, rank, wins, losses, summonerId.
%           2. Get Player Universally Unique IDentifiers (PUUID): /lol/summoner/v4/summoners/by-puuid/{encryptedPUUID}.
%               - Useful returned data: puuid.
%           3. Players last match identifiers: /lol/match/v5/matches/by-puuid/{puuid}/ids.
%               - Useful returned data: list of match ids (e.g. ["EUW1_1234567890", "EUW_0987654321"]).
%           4. Game and player stats: /lol/match/v5/matches/{matchId}.
%               - Useful returned data: rest of attributes.
%       (d) Repository with automated scripts for data gathering and dataset examples: https://github.com/Botxan/LoL-dataset-generator
%
%
% 3. Relevant Information:
%    --- This database stores a set of statistics on the performance of players
%        in different 5vs5 solo queue ranked games. Challenger, Grandmaster and
%        Master tiers have been excluded because they are treated from
%        different enpoints and do not follow the same structure of ranks and 
%        divisions as the other leagues.
%
%    --- Predicted attribute: player tier and rank (I = highest, Diamond I, 
%         28 = lowest, Iron IV). 
%
% 4. Number of instances: 42000 (1500 per tier and rank combination)
%
% 5. Number of Attributes: 16 numeric, predictive attributes and the class
%
% 6. Attribute Information:
%    # Player-related attributes
%    1. tier_rank: number representing the player's tier and rank. 1 = Diamond I, 2 = Diamond II, ..., 28 = Iron IV.
%    2. kills: total number of kills made by the player.
%    3. deaths: total number of times the player has died during the game.
%    4. assists: total number of times the player has assisted in a loss in favor of his team.
%    5. killingsprees: number of times the player has achieved a killing streak (3 kills or more before dying).
%    6. champExperience: experience points that the player has with the champion he has played.
%    7. totalDamageDealth: total damage inflicted by the player.
%    8. totalDamageTaken: total damage taken by the player.
%    9. totalMinionsKilled: number of minions killed by the player.
%    10. turretTakedown: number of towers destroyed by the player.
%    11. visionScore: vision score (1 point per minute of ward lifetime provided + 1 point per minute of ward lifetime denied) obtained by the player.
%
%    # Team-related attributes
%    12. dragonTakedowns: number of dragons killed by the team.
%    13. riftHeraldTakedowns: number of rift heralds killed by the team.
%    14. baronTakedowns: number of barons killed by the team.
%    15. towerTakedowns: number of towers destroyed by the team.
%
%    # Game-related attributes
%    16. gameDuration: game duration in seconds.
%
% 8. Missing Attribute Values: None
%
% 9. Class Distribution: 1500 for each of 28 classes.

@relation LoLSoloQ5v5

@attribute tier_rank numeric
@attribute kills numeric
@attribute deaths numeric
@attribute assists numeric
@attribute killingsprees numeric
@attribute champExperience numeric
@attribute totalDamageDealth numeric
@attribute totalDamageTaken numeric
@attribute totalMinionsKilled numeric
@attribute turretTakedown numeric
@attribute visionScore numeric
@attribute dragonTakedowns numeric
@attribute riftHeraldTakedowns numeric
@attribute baronTakedowns numeric
@attribute towerTakedowns numeric
@attribute gameDuration numeric

@data
1,3,14,7,0,6742,9832,24469,16,0,22,0,0,0,1,1319
1,7,5,4,2,12662,147000,17190,170,0,20,0,0,0,3,1545
1,3,4,16,0,13017,19347,18095,37,3,73,2,0,2,9,1868
1,1,2,14,0,8781,16696,9970,30,2,65,3,1,1,9,1518
1,2,10,20,0,12663,22924,23337,21,0,78,1,0,1,3,1843
1,0,0,14,0,7256,10350,8571,20,4,60,3,1,1,10,1358
1,1,5,23,0,9868,26666,12249,23,6,58,4,1,1,8,1580
1,2,4,22,1,9376,15979,16625,17,3,85,4,0,1,7,1777
1,2,3,24,0,9057,16815,12332,23,6,68,4,1,1,11,1653
1,4,5,7,1,15465,173910,17522,233,3,23,3,1,1,11,1834
1,9,6,11,3,14168,186466,27263,223,4,30,3,1,1,9,1989
1,9,9,15,3,16568,244837,34434,198,2,9,2,0,1,6,2127
1,8,7,6,1,15619,213445,17835,241,3,20,3,0,1,7,1901
1,4,5,7,1,12370,164585,21013,217,3,20,3,0,1,8,1746
1,8,9,7,2,15009,210501,23312,232,4,13,3,0,1,9,1852
1,12,5,8,5,14846,243842,20459,245,5,20,3,0,1,11,1946
1,5,5,2,1,7969,84908,9692,145,3,6,2,1,0,6,1142
1,3,7,5,1,10968,112037,19168,183,2,22,1,0,0,2,1654
1,5,4,9,1,7880,76730,8724,121,1,10,1,1,0,3,1168
1,8,2,3,2,17674,211474,20484,249,3,21,1,1,1,11,1816
1,10,4,9,3,13536,149028,20380,197,4,13,3,1,0,9,1466
1,11,5,8,3,16938,163766,19147,224,1,18,4,0,1,4,1625
1,16,2,3,2,14067,149381,19564,181,2,17,3,1,1,9,1513
1,10,3,7,1,17279,201200,24106,248,4,15,2,0,1,8,1690
1,10,7,8,3,12110,112159,20509,151,2,16,2,1,1,8,1421
1,1,3,28,0,14322,42166,18553,45,5,73,4,0,2,11,1898
1,0,5,16,0,15275,41692,20347,51,3,80,2,0,2,9,2076
1,14,10,5,5,12877,138966,33038,168,0,17,2,0,0,4,1777
1,1,0,4,0,7212,64163,5728,116,1,10,1,1,0,4,913
1,10,6,17,2,26047,243512,43463,257,6,22,0,0,2,11,2314
1,5,9,9,0,17175,160315,44828,191,6,17,2,0,1,11,1977
1,13,3,5,1,16384,145672,40215,192,5,13,4,1,1,9,1655
1,3,5,11,1,12064,103277,30038,135,1,11,1,0,0,2,1628
1,6,7,7,1,13000,110237,27680,143,7,9,3,1,1,9,1474
1,11,7,7,1,20361,204734,42154,224,3,15,2,0,1,6,2127
1,12,1,14,1,13679,123614,28778,163,5,15,1,0,1,9,1431
1,17,11,21,4,20470,181096,66199,168,5,27,1,1,1,10,2476
1,10,3,11,1,13253,119214,26892,155,4,19,1,1,0,11,1403
1,12,11,3,4,12203,84272,37211,116,0,17,0,1,0,0,1537
1,5,9,10,2,16530,230637,25906,219,5,20,1,0,2,10,2018
1,4,11,6,0,13511,155024,37352,209,1,17,3,0,0,6,2096
1,8,5,9,2,14496,177882,18880,245,3,16,2,0,1,7,1908
1,7,6,9,2,13551,146006,22275,229,0,25,1,0,0,2,1626
1,12,3,19,2,16039,188913,38710,233,4,19,3,1,0,10,1954
1,7,3,12,3,17952,251890,16562,296,6,12,2,1,0,8,2012
1,2,4,4,1,7368,122485,22444,27,0,13,0,0,0,1,1145
1,3,6,5,1,10211,118393,19385,202,0,10,1,0,0,0,1545
1,11,4,6,4,20215,352968,26071,330,4,25,3,1,1,10,2229
1,4,6,3,1,8671,166334,27959,17,1,9,2,1,0,3,1386
1,1,8,17,0,8653,16216,19277,22,0,45,1,1,1,11,1600
1,4,13,8,1,17282,237600,29935,222,4,22,1,0,2,10,2178
1,5,10,13,1,13947,160359,30978,179,1,17,1,0,0,6,2025
1,3,4,4,1,9730,88050,13644,164,0,18,0,0,0,2,1542
1,9,3,3,2,5801,67629,8284,110,1,11,2,0,0,4,921
1,6,10,5,2,12441,124617,26546,169,3,18,1,0,1,11,1663
1,7,9,3,1,8315,96448,18285,169,0,13,0,0,0,1,1438
1,2,8,0,0,7003,66373,15701,139,0,10,1,0,0,0,1390
1,5,4,9,1,13905,183370,21434,242,1,17,1,0,0,2,1869
1,4,7,11,1,11791,128995,25330,152,3,21,3,1,1,10,1913
1,5,3,1,1,10674,83434,13284,146,2,14,1,0,0,3,1114
1,3,4,2,0,12200,116865,18599,172,4,17,1,1,1,11,1425
1,7,6,6,2,19848,233126,33898,263,5,19,2,0,2,9,2018
1,7,1,4,2,13020,144943,20241,194,5,12,3,1,0,10,1270
1,0,6,0,0,7135,52755,18860,125,0,12,0,0,0,0,1212
1,12,6,5,3,17105,186161,33050,208,7,16,4,0,2,11,1802
1,12,13,4,4,18983,187753,40532,232,5,26,3,1,2,7,2131
1,13,2,5,3,21916,275967,38522,275,5,27,2,1,1,11,1973
1,5,5,2,2,17074,169091,30425,240,5,23,2,1,0,11,1947
1,6,7,4,1,17459,183743,34553,217,5,24,1,1,1,10,1978
1,1,8,7,0,13590,128942,44266,175,2,22,2,0,1,6,2009
1,1,5,1,0,15173,159926,31823,217,0,19,2,0,0,2,1828
1,5,4,7,1,14515,121803,25324,178,2,24,3,0,1,8,1665
1,2,5,5,0,13903,133499,27593,179,0,18,1,0,0,2,1791
1,8,6,7,2,18671,159117,46072,212,3,37,4,1,2,9,2260
1,1,3,1,0,13486,113385,16934,205,1,18,0,0,0,3,1499
1,4,13,14,0,19805,170156,62124,213,1,39,2,0,2,9,2651
1,8,2,4,2,13176,123200,25502,150,3,14,3,1,1,11,1391
1,1,8,5,0,11033,82291,27277,142,0,13,1,0,0,1,1495
1,4,4,11,1,15721,97328,28580,169,3,31,2,1,1,11,1699
1,0,4,1,0,6591,29993,8914,102,0,5,0,0,0,0,919
1,6,8,10,1,13077,134822,29527,148,4,16,3,0,0,6,1772
1,5,5,4,1,14819,159765,21063,180,5,17,0,0,1,9,1567
1,8,9,5,2,21406,326056,44292,282,8,21,3,0,3,11,2315
1,5,5,0,1,14662,187339,25817,194,3,9,3,0,1,5,1384
1,1,9,7,0,7569,18360,19747,33,0,43,0,0,0,3,1399
1,7,11,11,2,17112,175994,37157,166,5,20,3,1,1,9,1975
1,3,6,0,1,11641,147100,20992,160,3,14,0,0,0,6,1421
1,9,11,3,1,14835,170353,32590,162,4,12,2,1,1,11,1741
1,13,1,3,2,15918,211378,22519,205,5,17,2,1,1,6,1531
1,0,8,6,0,14126,141162,20169,216,1,14,2,0,0,3,1776
1,13,4,7,3,21943,294046,27204,291,7,15,4,1,2,11,2056
1,10,8,8,3,19782,270339,30700,281,3,20,0,1,0,9,2052
1,7,1,3,2,17381,195248,22317,254,4,23,1,0,1,9,1773
1,10,5,8,3,19884,237061,23896,288,5,21,2,0,1,7,1993
1,5,2,2,1,18097,226999,40842,281,3,21,4,1,1,9,1690
1,3,3,0,1,9169,75602,7570,147,0,7,1,0,0,0,951
1,5,5,4,1,14988,149790,21230,227,2,19,1,0,0,4,1619
1,7,6,3,2,13581,145485,19101,201,1,8,0,1,1,8,1582
1,5,4,8,1,15207,146899,21501,191,4,12,4,1,1,11,1538
1,18,6,11,4,21307,285293,40229,257,2,14,3,0,1,11,1898
1,1,5,0,0,6098,28342,10334,96,0,7,0,0,0,1,911
1,8,7,6,3,17026,164673,20875,252,1,17,0,1,0,9,1789
1,11,7,8,2,22595,237570,44899,259,3,31,4,0,2,11,2444
1,12,1,1,1,12023,127143,7935,196,0,16,2,1,0,4,1272
1,14,3,1,2,9465,75423,14201,139,0,13,2,0,0,3,1165
1,14,2,19,2,20921,243280,19117,278,6,41,4,1,2,9,2226
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1,12,1,12,2,16647,184538,11780,229,7,17,3,1,1,11,1655
1,9,4,6,2,13246,139281,17751,208,3,12,2,0,1,9,1496
1,11,2,7,3,15011,275704,29623,15,3,33,2,1,1,10,1545
1,9,3,11,3,16929,316918,25432,51,4,29,3,1,1,8,1626
1,3,8,6,0,10386,193819,27374,27,0,25,1,0,0,1,1504
1,21,3,7,2,18196,349732,30149,55,7,43,2,1,2,9,1704
1,7,5,8,2,10834,199573,26189,2,0,14,3,1,1,3,1274
1,10,9,6,2,14364,243126,41830,27,0,32,3,0,0,6,1818
1,8,7,8,2,15046,281459,38324,24,1,31,3,0,1,10,1683
1,17,2,8,2,18242,354188,30412,46,6,33,3,0,1,9,1964
1,6,3,9,1,7260,130147,19405,3,1,11,1,0,0,3,976
1,10,1,5,2,15541,296609,29351,34,4,24,3,1,1,11,1533
1,1,6,21,0,11589,28216,16007,18,6,84,1,1,0,10,1921
1,7,3,8,2,14439,121885,12910,172,4,18,2,1,1,8,1559
1,1,5,20,0,7441,19527,16012,17,1,73,0,0,0,3,1451
1,3,1,9,1,6444,27310,5593,15,1,71,3,1,0,4,1307
1,10,6,20,3,19208,263422,49439,22,3,30,1,1,2,9,2034
1,4,9,14,1,7533,28425,17632,24,1,65,1,1,0,7,1373
1,0,3,29,0,13778,38898,11756,18,7,100,4,0,2,9,1867
1,3,2,9,1,7740,14647,12772,11,1,46,2,0,0,6,1353
1,3,8,17,1,10343,25840,26270,28,1,91,0,0,0,2,1827
1,1,9,6,0,6918,17758,20737,11,0,57,0,1,0,5,1576
1,5,10,4,1,14272,283024,27092,43,0,26,2,0,0,4,1789
1,1,10,3,0,11245,212957,35699,24,0,12,1,0,0,3,1762
1,5,5,11,1,17291,340258,33975,45,5,31,3,0,2,10,1838
1,10,6,24,3,25821,497420,63352,70,1,29,2,0,1,5,2564
1,4,8,11,0,12894,216320,34944,57,0,19,1,0,0,0,1687
1,1,3,8,0,9794,197929,21964,13,1,13,2,1,0,3,1194
1,4,0,6,1,12365,237089,20645,20,5,18,3,1,1,10,1358
1,5,7,7,1,13792,275895,37506,65,0,22,0,1,0,4,1802
1,5,5,15,2,18946,368466,39743,35,3,28,2,0,0,8,2131
1,0,0,0,0,0,1068,72,0,0,0,0,0,0,0,100
1,13,10,7,4,16285,132636,24794,174,1,13,4,0,1,10,2037
1,9,3,8,2,8955,63414,11618,92,3,14,3,1,0,8,1328
1,19,12,8,4,14187,155063,27578,166,3,20,1,1,0,7,2060
1,17,5,7,4,11254,98995,21103,134,4,8,0,0,0,9,1464
1,23,4,2,3,10916,99514,14771,125,3,10,2,0,1,6,1432
1,15,10,4,3,15108,130173,22788,155,1,9,3,1,1,10,1746
1,10,7,6,2,11726,186468,22758,27,6,12,1,1,1,11,1568
1,11,11,5,2,14291,137452,30522,179,0,15,2,0,0,3,2018
1,8,10,4,2,9689,81237,20988,110,1,11,1,0,0,2,1426
1,14,8,9,3,16413,162133,23125,183,4,15,3,0,1,8,1824
1,2,2,16,0,15563,186795,14509,25,6,20,3,1,2,9,1914
1,6,5,7,1,13251,220152,30177,21,0,33,4,0,1,9,1602
1,7,3,8,3,17080,317182,35303,22,2,24,5,1,2,7,1911
1,1,3,8,0,14969,178938,15777,14,1,33,3,0,0,3,2430
1,3,2,25,0,14807,101011,12038,15,5,27,2,0,2,11,1709
1,1,0,9,0,10821,136729,6423,13,5,27,3,1,1,9,1476
1,1,1,24,0,16816,201969,18005,14,5,39,2,1,2,8,2080
1,4,0,21,1,11209,152150,9688,5,5,16,1,1,1,9,1405
1,0,6,4,0,7316,126574,18059,2,0,21,1,0,0,3,1368
1,7,7,6,2,11497,182790,27889,27,0,15,0,0,0,1,1573
1,2,4,22,0,17504,318398,43570,69,3,26,2,1,1,9,2101
1,2,6,14,1,12835,194590,40755,23,1,21,2,1,1,10,1631
1,3,8,21,1,15300,290484,50839,44,1,32,2,1,1,6,2148
1,3,3,14,1,8831,132890,26318,16,1,9,2,1,0,6,1177
1,9,0,20,1,12095,260768,34730,31,4,18,3,1,0,8,1442
1,4,3,19,1,9244,178214,27877,19,0,8,2,1,0,2,1429
1,2,5,18,1,14223,206457,33402,21,2,24,4,0,1,10,1616
1,5,4,11,2,12312,197597,27773,29,0,16,2,0,1,1,1578
1,5,6,20,1,15768,239398,40637,27,1,10,5,1,2,11,1869
1,1,2,20,0,14956,282194,33300,39,3,16,4,1,1,8,1608
1,1,4,20,0,12394,38742,20842,37,2,82,3,1,2,7,1889
1,1,6,21,0,16291,22389,26533,19,3,118,4,1,2,11,2225
1,2,9,21,0,10872,37651,17403,36,3,116,2,1,0,9,1767
1,0,0,8,0,3969,15393,2819,22,4,40,2,1,0,5,912
1,5,10,5,0,17347,176800,41362,227,1,27,2,1,1,4,1895
1,6,1,3,2,8068,71150,13588,121,1,14,2,1,0,3,947
1,1,3,1,0,11285,111445,18004,215,1,12,0,1,0,3,1390
1,9,5,11,2,19802,173196,39524,235,4,21,3,1,2,11,2001
1,3,7,23,0,11955,24707,24849,26,1,102,2,1,0,4,2138
1,5,9,14,1,15591,67123,18850,54,5,104,4,1,2,11,2254
1,6,8,15,1,11518,162000,28242,11,3,12,2,0,1,10,1417
1,7,8,3,3,10543,197222,28875,25,0,18,0,0,0,3,1589
1,5,3,2,2,6576,112381,15457,4,0,12,0,0,0,6,947
1,21,5,7,4,21770,352950,43770,51,1,39,2,0,2,11,2092
1,4,10,21,1,17669,313506,47591,27,1,37,3,0,1,4,2179
1,13,10,7,3,13084,246089,31082,64,2,18,0,1,0,4,1796
1,6,3,6,2,11252,236203,25208,13,2,17,2,0,0,5,1382
1,4,5,5,1,9137,163470,25082,24,0,29,1,0,0,1,1419
1,12,6,7,2,18156,258638,44024,15,4,38,2,1,1,11,1903
1,1,7,2,0,6927,98345,23279,4,0,13,0,0,0,0,1296
1,4,2,4,1,16027,180248,19541,245,6,25,2,0,1,10,1552
1,11,4,2,3,20987,239739,46608,291,0,52,1,0,1,3,2416
1,11,2,2,2,17777,218990,32487,268,2,29,0,0,1,2,1812
1,6,9,2,1,14396,147533,32697,197,2,30,1,0,0,3,1633
1,5,6,2,1,15138,197170,44876,242,1,25,2,0,0,6,1841
1,5,3,13,1,20022,246506,61096,249,7,41,2,0,2,10,1957
1,5,1,4,1,10952,95208,14308,158,2,17,0,0,0,3,1095
1,7,5,12,1,16819,171803,24456,215,5,27,1,0,0,9,1715
1,2,8,3,0,11958,125852,32781,182,0,12,1,0,0,1,1598
1,9,2,11,2,15767,213862,45776,209,6,14,3,0,1,8,1517
1,5,8,5,1,8485,97136,19020,122,0,11,0,0,0,0,1262
1,12,2,5,2,9549,117352,10392,157,5,20,2,1,0,10,1264
1,11,5,4,3,11312,119170,15938,152,4,14,1,0,1,8,1537
1,3,7,6,0,11002,119198,15838,189,1,9,0,1,0,5,1654
1,5,7,4,2,12478,114010,15065,177,3,10,3,1,1,9,1599
1,7,5,8,2,11341,138432,15703,180,3,10,2,0,1,7,1540
1,13,13,6,4,18208,337847,40938,266,1,26,2,1,0,3,2315
1,8,7,3,1,9738,108540,12308,154,0,10,0,1,0,1,1384
1,28,11,12,9,24997,402832,34332,279,3,21,5,1,1,6,2549
1,18,8,8,6,18704,260200,24433,271,2,13,3,1,1,9,1975
1,7,5,9,1,12567,129997,20625,164,1,19,1,1,0,4,1727
1,7,6,14,2,19893,249418,23010,283,5,27,2,0,2,9,2310
1,14,4,6,3,17971,289031,23449,313,6,23,2,1,1,9,2009
1,12,1,6,2,15735,201161,23601,231,6,18,3,0,1,11,1624
1,6,8,8,2,9518,88104,19398,140,0,10,1,0,0,1,1373
1,2,6,5,1,14203,174910,22741,272,3,17,0,1,0,4,1765
1,3,6,3,0,12812,168791,14186,256,1,16,0,0,0,4,1809
1,5,3,12,2,14674,189810,14390,226,7,13,2,0,1,11,1616
1,11,5,7,2,14154,175437,16505,200,7,21,2,1,1,10,1588
1,4,1,4,1,10681,147740,11305,190,7,12,3,1,1,10,1376
1,5,1,6,1,6983,43188,7534,81,1,7,1,1,0,2,913
1,4,0,4,1,10663,88681,7149,159,1,7,3,1,0,3,1099
1,9,0,5,1,14204,128323,12254,184,2,11,3,1,1,5,1325
1,14,7,7,3,15000,154574,20754,175,1,11,4,1,1,8,1633
1,14,0,8,1,20139,207161,23481,241,3,22,3,1,2,10,1909
1,17,2,9,2,14239,137316,15149,175,5,11,2,0,1,11,1439
1,9,7,10,3,13175,136052,22382,184,6,26,2,0,0,8,1873
1,11,10,15,3,14799,168058,30161,203,3,16,1,0,1,10,1856
1,13,2,8,3,8227,97245,11449,140,0,3,2,1,0,3,1045
1,9,10,9,4,18785,199159,41922,213,2,18,3,1,1,10,2528
1,10,5,12,2,14362,230229,46744,18,7,37,0,1,1,11,1719
1,5,5,17,2,16028,258862,46866,32,1,44,0,1,0,8,1960
1,15,2,9,3,12169,200982,28784,31,5,21,1,1,0,8,1499
1,5,1,5,1,9066,142563,18136,21,1,26,0,1,0,9,1218
1,12,5,19,3,18008,224606,29982,56,4,45,3,0,1,8,1977
1,7,2,7,3,6170,109856,14880,9,0,22,0,0,0,1,933
1,7,4,14,2,13315,221849,30481,36,3,32,2,1,1,8,1513
1,12,4,10,2,14547,237941,37638,31,1,29,4,1,1,10,1597
1,8,2,8,3,6980,101181,14695,10,0,16,0,0,0,3,962
1,9,10,6,3,10459,120651,24604,27,0,21,0,0,0,2,1440
1,10,7,13,1,16723,260855,35527,38,7,51,3,0,2,10,1805
1,1,8,8,0,12546,238211,32798,39,2,42,1,1,1,11,1714
1,7,8,13,3,12302,207429,25875,28,3,40,2,1,1,11,1427
1,7,4,16,2,14995,185882,29937,22,5,30,3,0,1,8,1604
1,3,8,7,1,7126,13420,20225,32,0,159,2,1,0,6,1900
1,8,4,11,3,19335,369373,35013,57,2,46,5,1,2,11,1900
1,5,3,22,2,16109,229735,31616,23,5,35,4,0,1,8,1815
1,7,5,10,1,14515,238108,28396,33,1,38,3,1,1,5,1505
1,19,5,8,3,18517,358579,34949,65,5,42,5,1,1,9,2065
1,4,11,16,0,15250,182658,42577,15,0,47,5,1,1,7,1997
1,5,4,10,2,13169,211466,19715,28,5,27,1,1,1,7,1672
1,18,3,10,4,16628,292911,25588,33,7,21,3,1,2,11,1643
1,7,10,13,1,13716,249320,27842,34,2,31,2,0,1,8,1728
1,11,3,13,3,19639,370782,32143,45,5,35,4,0,0,10,2170
1,6,10,21,1,21533,388218,40450,72,0,33,2,0,0,4,2490
1,10,2,7,2,16295,244723,23464,9,4,34,4,1,1,11,1754
1,1,5,1,0,6463,105802,14941,19,0,10,0,0,0,0,1114
1,10,4,19,1,18274,282479,32478,25,2,27,3,0,1,9,1852
1,2,11,7,0,14170,219972,28293,48,1,17,1,1,0,1,1946
1,2,2,13,1,13765,202562,17062,20,4,25,4,1,1,11,1656
1,9,4,9,1,13834,167725,23630,179,6,15,2,1,2,10,1776
1,7,2,11,2,9910,127440,11610,156,4,22,3,1,1,10,1319
1,10,7,9,2,14102,205718,29636,228,0,21,2,1,0,3,1898
1,9,0,5,1,6575,60527,8802,124,1,10,1,1,0,2,963
1,5,2,6,2,12417,176411,14655,248,0,24,3,1,0,3,1773
1,2,4,19,0,18937,280231,24440,278,4,24,2,0,1,7,2047
1,1,9,4,0,8414,71427,14006,120,0,16,0,1,1,1,1339
1,12,3,12,3,19989,334256,19287,327,4,56,4,1,1,8,2266
